,Code,First_name,Last_name,Team,Nation,Position,Rating
0,abdelju01,Justin,Abdelkader,DET,US,LW,0.8154691246494123
1,backeda01,David,Backes,BOS,US,C,0.8766077286485388
2,backsni02,Nicklas,Backstrom,WSH,SE,C,0.9081040381557703
3,bassco01,Cody,Bass,NSH,CA,C,0.6735043527038055
4,beaucfr01,Francois,Beauchemin,ANA,CA,D,0.7861543633522895
5,bergepa01,Patrice,Bergeron,BOS,CA,C,0.9207274395714323
6,bernist01,Steve,Bernier,NYI,CA,RW,0.7399376615869795
7,bickebr01,Bryan,Bickell,CAR,CA,LW,0.6784470588728186
8,biekske01,Kevin,Bieksa,ANA,CA,D,0.7483955243547973
9,blundmi01,Mike,Blunden,TBL,CA,RW,0.7452881698230361
10,bollja01,Jared,Boll,ANA,US,RW,0.6302266221578436
11,bollada01,Dave,Bolland,FLA,CA,C,0.6979771732105623
12,boothda01,David,Booth,DET,US,LW,0.6497927455583734
13,bourqre01,Rene,Bourque,COL,CA,RW,0.7382132550504932
14,bouwmja01,Jay,Bouwmeester,STL,CA,D,0.7775469556966264
15,boychjo01,Johnny,Boychuk,NYI,CA,D,0.8073218159728507
16,boyesbr01,Brad,Boyes,TOR,CA,RW,0.7985874387795496
17,boylebr01,Brian,Boyle,NJD,US,C,0.7881685918293125
18,boyleda01,Dan,Boyle,NYR,CA,D,0.7668272847727885
19,brassde01,Derick,Brassard,TOT,CA,C,0.8444274088194467
20,brodzky01,Kyle,Brodziak,STL,CA,C,0.7830705519178102
21,brouwtr01,Troy,Brouwer,CGY,CA,RW,0.793042552431786
22,browndu01,Dustin,Brown,LAK,US,RW,0.865162232730795
23,brownmi02,Mike,Brown,TOT,US,RW,0.700400903404165
24,burnsbr01,Brent,Burns,SJS,CA,D,0.9182630392202673
25,burroal01,Alexandre,Burrows,OTT,CA,LW,0.744979297671649
26,byfugdu01,Dustin,Byfuglien,WPG,US,D,0.8962906807773539
27,callary01,Ryan,Callahan,TBL,US,RW,0.772288381914845
28,cammami01,Mike,Cammalleri,TOT,CA,C,0.8142961690037562
29,campbbr02,Brian,Campbell,CHI,CA,D,0.7739360634508403
30,campbgr01,Gregory,Campbell,CBJ,CA,LW,0.6890784060122322
31,carlema01,Matt,Carle,TBL,US,D,0.7351407314823173
32,carteje01,Jeff,Carter,LAK,CA,C,0.894291658788463
33,cartery01,Ryan,Carter,MIN,US,LW,0.7209860597030863
34,charazd01,Zdeno,Chara,BOS,CS,D,0.854247428358877
35,chimeja01,Jason,Chimera,TOT,CA,LW,0.751414176965965
36,chipcky01,Kyle,Chipchura,ARI,CA,C,0.7103080383714101
37,clarkda03,David,Clarkson,CBJ,CA,RW,0.6907660383240288
38,cluttca01,Cal,Clutterbuck,NYI,CA,RW,0.7829079159450247
39,coburbr01,Braydon,Coburn,TBL,CA,D,0.7557669068217066
40,coglian01,Andrew,Cogliano,ANA,CA,LW,0.817200184197161
41,colaica01,Carlo,Colaiacovo,BUF,CA,D,0.6979494268686616
42,comeabl01,Blake,Comeau,COL,CA,RW,0.8044024071374588
43,crosbsi01,Sidney,Crosby,PIT,CA,C,0.9341941877775275
44,cullema01,Matt,Cullen,MIN,US,C,0.7690051032025742
45,daleytr01,Trevor,Daley,DET,CA,D,0.782528377730898
46,datsypa01,Pavel,Datsyuk,DET,RU,C,0.8941333345530236
47,doansh01,Shane,Doan,ARI,CA,RW,0.806187800985143
48,downist01,Steve,Downie,ARI,CA,RW,0.7199352462275227
49,dubinbr01,Brandon,Dubinsky,CBJ,US,C,0.8362639902267958
50,dupuipa01,Pascal,Dupuis,PIT,CA,LW,0.7445503631944984
