,Code,First_name,Last_name,Team,Nation,Position,Rating
0,abdelju01,Justin,Abdelkader,DET,US,LW,0.8083517198309862
1,backeda01,David,Backes,BOS,US,C,0.8731031243730545
2,backsni02,Nicklas,Backstrom,WSH,SE,C,0.9053908186995856
3,bassco01,Cody,Bass,NSH,CA,C,0.6405145356851182
4,beaucfr01,Francois,Beauchemin,ANA,CA,D,0.7788737211388025
5,bergepa01,Patrice,Bergeron,BOS,CA,C,0.9235088167469305
6,bernist01,Steve,Bernier,NYI,CA,RW,0.7300711196518032
7,bickebr01,Bryan,Bickell,CAR,CA,LW,0.6656773338893589
8,biekske01,Kevin,Bieksa,ANA,CA,D,0.7346349572691354
9,blundmi01,Mike,Blunden,TBL,CA,RW,0.7348312255728245
10,bollja01,Jared,Boll,ANA,US,RW,0.612898098377971
11,bollada01,Dave,Bolland,FLA,CA,C,0.6843910277618178
12,boothda01,David,Booth,DET,US,LW,0.6364875987338214
13,bourqre01,Rene,Bourque,COL,CA,RW,0.7299977906662561
14,bouwmja01,Jay,Bouwmeester,STL,CA,D,0.7657616041602517
15,boychjo01,Johnny,Boychuk,NYI,CA,D,0.8015918607033263
16,boyesbr01,Brad,Boyes,TOR,CA,RW,0.7993739400564361
17,boylebr01,Brian,Boyle,NJD,US,C,0.7833727207893741
18,boyleda01,Dan,Boyle,NYR,CA,D,0.7650124394749502
19,brassde01,Derick,Brassard,TOT,CA,C,0.8424974143452992
20,brodzky01,Kyle,Brodziak,STL,CA,C,0.769180708795776
21,brouwtr01,Troy,Brouwer,CGY,CA,RW,0.780537072132659
22,browndu01,Dustin,Brown,LAK,US,RW,0.8617690520643257
23,brownmi02,Mike,Brown,TOT,US,RW,0.6843629629685947
24,burnsbr01,Brent,Burns,SJS,CA,D,0.9182293379074822
25,burroal01,Alexandre,Burrows,OTT,CA,LW,0.7377785591624327
26,byfugdu01,Dustin,Byfuglien,WPG,US,D,0.8935756387670616
27,callary01,Ryan,Callahan,TBL,US,RW,0.7641165856617089
28,cammami01,Mike,Cammalleri,TOT,CA,C,0.8074316214456974
29,campbbr02,Brian,Campbell,CHI,CA,D,0.7673035729392411
30,campbgr01,Gregory,Campbell,CBJ,CA,LW,0.6709819884744139
31,carlema01,Matt,Carle,TBL,US,D,0.7256765322195724
32,carteje01,Jeff,Carter,LAK,CA,C,0.8896884005046646
33,cartery01,Ryan,Carter,MIN,US,LW,0.7045098954501248
34,charazd01,Zdeno,Chara,BOS,CS,D,0.8460877977579725
35,chimeja01,Jason,Chimera,TOT,CA,LW,0.7401043484230361
36,chipcky01,Kyle,Chipchura,ARI,CA,C,0.6981015280283288
37,clarkda03,David,Clarkson,CBJ,CA,RW,0.6757571576293208
38,cluttca01,Cal,Clutterbuck,NYI,CA,RW,0.7715912050801793
39,coburbr01,Braydon,Coburn,TBL,CA,D,0.744337422157249
40,coglian01,Andrew,Cogliano,ANA,CA,LW,0.8157915434092275
41,colaica01,Carlo,Colaiacovo,BUF,CA,D,0.6917303120545361
42,comeabl01,Blake,Comeau,COL,CA,RW,0.8020158146971388
43,crosbsi01,Sidney,Crosby,PIT,CA,C,0.93391974584329
44,cullema01,Matt,Cullen,MIN,US,C,0.7561044016329588
45,daleytr01,Trevor,Daley,DET,CA,D,0.770398583001878
46,datsypa01,Pavel,Datsyuk,DET,RU,C,0.8970880013574276
47,doansh01,Shane,Doan,ARI,CA,RW,0.8039529620199646
48,downist01,Steve,Downie,ARI,CA,RW,0.7155941292749185
49,dubinbr01,Brandon,Dubinsky,CBJ,US,C,0.8267943687591804
50,dupuipa01,Pascal,Dupuis,PIT,CA,LW,0.7205424732361148
51,eavespa01,Patrick,Eaves,TOT,CA,RW,0.830208176768618
52,edleral01,Alexander,Edler,VAN,SE,D,0.8376240484394566
53,ehrhoch01,Christian,Ehrhoff,TOT,DE,D,0.7349250286611426
54,eliaspa01,Patrik,Elias,NJD,CS,LW,0.8060603502084872
55,enstrto01,Toby,Enstrom,WPG,SE,D,0.7448568184564132
56,ericsjo01,Jonathan,Ericsson,DET,SE,D,0.7498745227295895
57,erikslo01,Loui,Eriksson,VAN,SE,LW,0.8152274039836582
58,fehrer01,Eric,Fehr,TOT,CA,RW,0.7636605094296068
59,fiddlve01,Vernon,Fiddler,TOT,CA,C,0.7016895652819926
60,filppva01,Valtteri,Filppula,PHI,FI,C,0.7875151772459303
61,fishemi01,Mike,Fisher,NSH,CA,C,0.7880050003718864
62,fleisto01,Tomas,Fleischmann,TOT,CS,LW,0.7739606976007489
63,foligni01,Nick,Foligno,CBJ,US,LW,0.8429375457073071
64,gaborma01,Marian,Gaborik,TOT,CS,RW,0.7850230190607609
65,gagnesa01,Sam,Gagner,VAN,CA,C,0.7872253846664474
66,gaustpa01,Paul,Gaustad,NSH,US,C,0.6759494944958064
67,getzlry01,Ryan,Getzlaf,ANA,CA,C,0.9279936392328945
68,gilbeto01,Tom,Gilbert,LAK,US,D,0.7293641608988772
69,giontbr01,Brian,Gionta,BOS,US,RW,0.7941832633040719
70,girarda01,Dan,Girardi,TBL,CA,D,0.7726068195465842
71,giroucl01,Claude,Giroux,PHI,CA,C,0.9217009181111119
72,glassta01,Tanner,Glass,CGY,CA,LW,0.6942485215619296
73,goligal01,Alex,Goligoski,ARI,US,D,0.8329768926820845
74,gomezsc01,Scott,Gomez,TOT,US,C,0.6699826035793325
75,gordobo01,Boyd,Gordon,PHI,CA,C,0.6375290256838222
76,gorgejo01,Josh,Gorges,BUF,CA,D,0.7270125378626797
77,grabomi01,Mikhail,Grabovski,NYI,DE,C,0.7881921804479971
78,greenmi03,Mike,Green,DET,CA,D,0.8305578084488168
79,greenan01,Andy,Greene,NJD,US,D,0.7660805018119609
80,greenma01,Matt,Greene,LAK,US,D,0.7113149008346219
81,grossni01,Nicklas,Grossmann,ARI,SE,D,0.7158488028080423
82,guenina01,Nate,Guenin,COL,US,D,0.6133342974714464
83,hainsro01,Ron,Hainsey,TOR,US,D,0.7850136377634463
84,hamhuda01,Dan,Hamhuis,DAL,CA,D,0.78305818576112
85,hanseja01,Jannik,Hansen,SJS,DK,LW,0.7852344014658071
86,hanzama01,Martin,Hanzal,DAL,CS,C,0.8155115860826528
87,hartnsc01,Scott,Hartnell,NSH,CA,LW,0.8022982031607931
88,helmda01,Darren,Helm,DET,CA,C,0.788567734314269
89,hemskal01,Ales,Hemsky,DAL,CS,RW,0.8105132319968084
90,higgich01,Chris,Higgins,VAN,US,LW,0.66339479074315
91,hjalmni01,Niklas,Hjalmarsson,ARI,SE,D,0.7847449576880279
92,horcosh01,Shawn,Horcoff,ANA,CA,C,0.7623567863274201
93,hossama01,Marian,Hossa,CHI,CS,RW,0.8354104483115814
94,hudleji01,Jiri,Hudler,DAL,CS,RW,0.7618114325498304
95,hunwima01,Matt,Hunwick,PIT,US,D,0.7605681848294474
96,iginlja01,Jarome,Iginla,TOT,CA,RW,0.7827921869845225
97,jackmba01,Barret,Jackman,NSH,CA,D,0.6987716915336636
98,jagrja01,Jaromir,Jagr,CGY,CS,RW,0.797821119216159
99,johnser01,Erik,Johnson,COL,US,D,0.8392105253094634
100,johnsja02,Jack,Johnson,CBJ,US,D,0.7737953277449443
101,jokinju01,Jussi,Jokinen,TOT,FI,C,0.794970340295646
102,jonesda01,David,Jones,TOT,CA,RW,0.7320362652435684
103,kanepa01,Patrick,Kane,CHI,US,RW,0.9098554337129791
104,keithdu01,Duncan,Keith,CHI,CA,D,0.845678835746532
105,kellych01,Chris,Kelly,ANA,CA,C,0.6538559303665481
106,kennety01,Tyler,Kennedy,NJD,CA,C,0.7702067721213303
107,keslery01,Ryan,Kesler,ANA,US,C,0.8550182573034688
108,kesseph01,Phil,Kessel,PIT,US,RW,0.885678857640653
109,kleinke01,Kevin,Klein,NYR,CA,D,0.7897733894794936
110,koivumi01,Mikko,Koivu,MIN,FI,C,0.8727004558219341
111,kopitan01,Anze,Kopitar,LAK,SI,C,0.9223954357087919
112,krejcda01,David,Krejci,BOS,CS,C,0.866906845697541
113,kronwni01,Niklas,Kronwall,DET,SE,D,0.774692154255122
114,kunitch01,Chris,Kunitz,TBL,CA,LW,0.8010469599011609
115,laddan01,Andrew,Ladd,NYI,CA,LW,0.8050120869717037
116,laichbr01,Brooks,Laich,LAK,CA,C,0.6712254829844665
117,lecavvi01,Vincent,Lecavalier,TOT,CA,C,0.7560359384098795
