,Code,First_name,Last_name,Team,Nation,Position,Rating
0,abdelju01,Justin,Abdelkader,DET,US,LW,0.8089990343737301
1,abergpo01,Pontus,Aberg,TOT,SE,LW,0.6961627404892048
2,acciano01,Noel,Acciari,BOS,US,C,0.7437724261564982
3,ahose01,Sebastian,Aho,CAR,FI,RW,0.8774425334355547
4,ahose02,Sebastian,Aho,NYI,SE,D,0.7098315679463314
5,altma01,Mark,Alt,TOT,US,D,0.6409452929406505
6,alzneka01,Karl,Alzner,MTL,CA,D,0.7643533414202992
7,amadimi01,Michael,Amadio,LAK,CA,C,0.6821889929969405
8,anderjo03,Joakim,Andersson,DET,SE,C,0.6728710727202069
9,anderjo05,Josh,Anderson,CBJ,CA,RW,0.8052800106803643
10,andrean01,Andy,Andreoff,LAK,CA,LW,0.6869889728754945
11,andrisv01,Sven,Andrighetto,COL,CH,RW,0.7953247309221441
12,anisiar01,Artem,Anisimov,CHI,RU,C,0.7991579413890534
13,antipvi01,Victor,Antipin,BUF,KZ,D,0.7138320037026109
14,archida02,Darren,Archibald,VAN,CA,RW,0.7920340947090713
15,archijo01,Josh,Archibald,TOT,CA,RW,0.7398163825195379
16,arcobma01,Mark,Arcobello,TOR,US,RW,0.7238102734687927
17,armiajo01,Joel,Armia,WPG,FI,RW,0.78428938370373
18,arvidvi01,Viktor,Arvidsson,NSH,SE,LW,0.846639467663326
19,astonza01,Zach,Aston-Reese,PIT,US,C,0.8152684433807473
20,athanan01,Andreas,Athanasiou,DET,CA,C,0.7753130249064542
21,atkinca01,Cam,Atkinson,CBJ,US,RW,0.8679581162119845
22,audymjo01,Jon,Marchessault,VEG,CA,C,0.8682394283751216
23,auvityo01,Yohann,Auvitu,EDM,FR,D,0.719758180119804
24,backeda01,David,Backes,BOS,US,C,0.8721568826746229
25,backlmi01,Mikael,Backlund,CGY,SE,C,0.8636137184223908
26,backsni02,Nicklas,Backstrom,WSH,SE,C,0.9049128808080941
27,baertsv01,Sven,Baertschi,VAN,CH,LW,0.7956629551104187
28,bailejo01,Josh,Bailey,NYI,CA,C,0.8509356818878735
29,baileju01,Justin,Bailey,BUF,US,RW,0.7101551039442506
30,baptini01,Nicholas,Baptiste,BUF,CA,RW,0.6811796922657974
31,barbaiv01,Ivan,Barbashev,STL,RU,C,0.7527403655526477
32,barbema01,Mark,Barberio,COL,CA,D,0.7743567190544699
33,barkoal01,Aleksander,Barkov,FLA,FI,C,0.9152979827997909
34,barrity01,Tyson,Barrie,COL,CA,D,0.8572964448386667
35,bartkma01,Matt,Bartkowski,CGY,US,D,0.6875550728010029
36,barzama01,Mathew,Barzal,NYI,CA,C,0.9098086534310097
37,bassco01,Cody,Bass,NSH,CA,C,0.6408073671414024
38,beaglja01,Jay,Beagle,WSH,CA,RW,0.7600118576241823
39,bearet01,Ethan,Bear,EDM,CA,D,0.6981220565956937
40,beaucfr01,Francois,Beauchemin,ANA,CA,D,0.7785804846685604
41,beaulna01,Nathan,Beaulieu,BUF,CA,D,0.7459731963053432
42,beauvan01,Anthony,Beauvillier,NYI,CA,LW,0.7823815972905903
43,belesma01,Matt,Beleskey,TOT,CA,LW,0.6927543394362651
44,bellepi01,Pierre-Edouard,Bellemare,VEG,FR,LW,0.7317918194190345
45,bennebe01,Beau,Bennett,NJD,US,RW,0.7703052789704208
46,bennesa01,Sam,Bennett,CGY,CA,C,0.7696451706543304
47,bennima01,Matt,Benning,EDM,CA,D,0.7764327123069565
48,bennja01,Jamie,Benn,DAL,CA,LW,0.91538849657099
49,bennjo01,Jordie,Benn,MTL,CA,D,0.7581148467236046
50,bergepa01,Patrice,Bergeron,BOS,CA,C,0.9229554958611941
51,berglpa01,Patrik,Berglund,STL,SE,C,0.8213267799697253
52,bernist01,Steve,Bernier,NYI,CA,RW,0.7301329354382655
53,bertuty01,Tyler,Bertuzzi,DET,CA,LW,0.8220850895919346
54,bickebr01,Bryan,Bickell,CAR,CA,LW,0.6615029355921709
55,biegaal01,Alex,Biega,VAN,CA,D,0.7315037266744148
56,biekske01,Kevin,Bieksa,ANA,CA,D,0.7342514076684571
57,bigrach01,Chris,Bigras,COL,CA,D,0.6309898129458003
58,bitetan01,Anthony,Bitetto,NSH,US,D,0.6833784625313533
59,bjorkan01,Anders,Bjork,BOS,US,LW,0.7615163577299374
60,bjorkol01,Oliver,Bjorkstrand,CBJ,DK,RW,0.8199551265753083
61,bjugsni01,Nick,Bjugstad,FLA,US,C,0.8053472290960696
62,blaissa01,Samuel,Blais,STL,CA,LW,0.7139166254018365
63,blandjo01,Joseph,Blandisi,NJD,CA,C,0.776907791843524
64,blidhan01,Anton,Blidh,BOS,SE,LW,0.7168849456483228
65,blundmi01,Mike,Blunden,TBL,CA,RW,0.7348312255728245
66,bodnaan01,Andrew,Bodnarchuk,TOT,CA,D,0.6626666701078278
67,boedkmi01,Mikkel,Boedker,SJS,DK,RW,0.797582568207532
68,boesebr01,Brock,Boeser,VAN,US,RW,0.875719615139195
69,bogosza01,Zach,Bogosian,BUF,US,D,0.7461206391578495
70,bollada01,Dave,Bolland,FLA,CA,C,0.683962611236264
71,bollibr01,Brandon,Bollig,CGY,US,LW,0.6564589970287746
72,bollja01,Jared,Boll,ANA,US,RW,0.6122304398628968
73,boninni01,Nick,Bonino,NSH,US,C,0.8008004460234485
74,boothda01,David,Booth,DET,US,LW,0.6373416293190343
75,borgman01,Andreas,Borgman,TOR,SE,D,0.7381115005135589
76,borowma01,Mark,Borowiecki,OTT,CA,D,0.7647984006873747
77,borturo01,Robert,Bortuzzo,STL,CA,D,0.747356208116346
78,bouchre01,Reid,Boucher,VAN,US,C,0.7406150632918406
79,boumala01,Lance,Bouma,CHI,CA,C,0.7313023711899802
80,bournmi01,Michael,Bournival,TBL,CA,LW,0.7525218300977573
81,bourqga01,Gabriel,Bourque,COL,CA,LW,0.729502859805864
82,bourqre01,Rene,Bourque,COL,CA,RW,0.729276042563312
83,bouwmja01,Jay,Bouwmeester,STL,CA,D,0.7644837367690821
84,boweyma01,Madison,Bowey,WSH,CA,D,0.6998859600082715
85,boychjo01,Johnny,Boychuk,NYI,CA,D,0.8021098089411269
86,boyesbr01,Brad,Boyes,TOR,CA,RW,0.8042053112321658
87,boylebr01,Brian,Boyle,NJD,US,C,0.7833690627985866
88,boyleda01,Dan,Boyle,NYR,CA,D,0.767485271098327
89,bozakty01,Tyler,Bozak,TOR,CA,C,0.8385112430896794
90,brassde01,Derick,Brassard,TOT,CA,C,0.8426566967172198
91,brattje01,Jesper,Bratt,NJD,SE,LW,0.7857424848887924
92,braunju01,Justin,Braun,SJS,US,D,0.8129543073141715
93,brickco01,Connor,Brickley,FLA,US,C,0.7171699973772674
94,brodijo01,Jonas,Brodin,MIN,SE,D,0.7824017903709813
