First_name,Last_name,Team,Nation,Position,Rating
Connor,McDavid,EDM,CA,C,0.953775974
Nikita,Kucherov,TBL,RU,RW,0.946511499
Sidney,Crosby,PIT,CA,C,0.943798739
Brad,Marchand,BOS,CA,LW,0.942208818
Patrice,Bergeron,BOS,CA,C,0.934886544
Aleksander,Barkov,FLA,FI,C,0.931961919
Steven,Stamkos,TBL,CA,C,0.929046555
Taylor,Hall,NJD,CA,LW,0.927088816
Leon,Draisaitl,EDM,DE,C,0.926125172
Blake,Wheeler,WPG,US,RW,0.925573999
Brent,Burns,SJS,CA,D,0.925398378
Erik,Karlsson,SJS,SE,D,0.924826396
Claude,Giroux,PHI,CA,C,0.923020228
David,Pastrnak,BOS,CZ,RW,0.92269904
Mark,Stone,TOT,CA,RW,0.92188864
Patrick,Kane,CHI,US,RW,0.92158614
Nathan,MacKinnon,COL,CA,C,0.919234718
Evgeni,Malkin,PIT,RU,C,0.918881427
Alex,Ovechkin,WSH,RU,LW,0.917179955
John,Tavares,TOR,CA,C,0.917123209
Ryan,O'Reilly,STL,CA,C,0.916968569
Johnny,Gaudreau,CGY,US,LW,0.915933987
Kris,Letang,PIT,CA,D,0.915927886
Mark,Scheifele,WPG,CA,C,0.915733667
Sean,Couturier,PHI,US,C,0.914563844
Ryan,Getzlaf,ANA,CA,C,0.913378355
Jonathan,Huberdeau,FLA,CA,C,0.912881153
Auston,Matthews,TOR,US,C,0.911103951
Tyler,Seguin,DAL,CA,C,0.910725189
Jack,Eichel,BUF,US,C,0.907962224
Anze,Kopitar,LAK,SI,C,0.906416244
Victor,Hedman,TBL,SE,D,0.906252827
Joe,Pavelski,SJS,US,C,0.905750453
Mark,Giordano,CGY,CA,D,0.905663914
Artemi,Panarin,CBJ,RU,LW,0.904956626
Matthew,Tkachuk,CGY,US,LW,0.903819188
Mitch,Marner,TOR,CA,C,0.902736285
Nicklas,Backstrom,WSH,SE,C,0.902553311
Sebastian,Aho,CAR,FI,RW,0.901235046
Jonathan,Toews,CHI,CA,C,0.90118427
Mikko,Rantanen,COL,FI,RW,0.900608836
Alexander,Radulov,DAL,RU,RW,0.900605648
Brayden,Point,TBL,CA,C,0.898454247
Sean,Monahan,CGY,CA,C,0.898297086
Evgeni,Dadonov,FLA,RU,RW,0.898012927
Dustin,Byfuglien,WPG,US,D,0.897768249
John,Carlson,WSH,US,D,0.89649363
Vladimir,Tarasenko,STL,RU,RW,0.895643348
Gabriel,Landeskog,COL,SE,LW,0.893523855
Roman,Josi,NSH,CH,D,0.893262206
Jordan,Staal,CAR,CA,C,0.892536262
Filip,Forsberg,NSH,SE,C,0.89053356
Phil,Kessel,PIT,US,RW,0.890332787
Elias,Lindholm,CGY,SE,C,0.890081071
Vincent,Trocheck,FLA,US,C,0.889709042
Logan,Couture,SJS,CA,C,0.889455832
Alex,Pietrangelo,STL,CA,D,0.889307857
Paul,Stastny,VEG,CA,C,0.889015055
Jakub,Voracek,PHI,CS,RW,0.888798459
Tomas,Hertl,SJS,CZ,C,0.888711457
Shea,Weber,MTL,CA,D,0.888644925
Mika,Zibanejad,NYR,SE,C,0.888633166
Mikael,Granlund,TOT,FI,C,0.888594236
Torey,Krug,BOS,US,D,0.887310879
Brayden,Schenn,STL,CA,C,0.886536653
Seth,Jones,CBJ,US,D,0.886100789
Elias,Pettersson,VAN,SE,C,0.885645095
Jamie,Benn,DAL,CA,LW,0.885431675
John,Klingberg,DAL,SE,D,0.885119677
Teuvo,Teravainen,CAR,FI,C,0.884941759
Jake,Guentzel,PIT,US,C,0.884190336
Dylan,Larkin,DET,US,C,0.884145216
Ryan,Suter,MIN,US,D,0.883918068
Eric,Staal,MIN,CA,C,0.883664591
Mats,Zuccarello,TOT,NO,LW,0.883448326
Ryan,Johansen,NSH,CA,C,0.883070485
Reilly,Smith,VEG,CA,RW,0.882371642
David,Perron,STL,CA,LW,0.882325132
Drew,Doughty,LAK,CA,D,0.881945902
T.J.,Oshie,WSH,US,C,0.881010215
Evgeny,Kuznetsov,WSH,RU,C,0.879192973
Evander,Kane,SJS,CA,LW,0.879122702
Mathew,Barzal,NYI,CA,C,0.879011144
Jared,Spurgeon,MIN,CA,D,0.878598436
Matt,Duchene,TOT,CA,C,0.878423669
Jon,Marchessault,VEG,CA,C,0.878386082
David,Krejci,BOS,CS,C,0.877572313
Henrik,Zetterberg,DET,SE,LW,0.876758145
Bo,Horvat,VAN,CA,C,0.876732899
Viktor,Arvidsson,NSH,SE,LW,0.876456164
Morgan,Rielly,TOR,CA,D,0.875082725
Brendan,Gallagher,MTL,CA,RW,0.874456943
Mathew,Dumba,MIN,CA,D,0.874207141
Ryan,Ellis,NSH,CA,D,0.873624966
Cam,Atkinson,CBJ,US,RW,0.873615808
Rasmus,Ristolainen,BUF,FI,D,0.873209416
Dustin,Brown,LAK,US,RW,0.872886496
Joe,Thornton,SJS,CA,C,0.872057731
Charlie,McAvoy,BOS,US,D,0.87192684
P.K.,Subban,NSH,CA,D,0.871601883
Brock,Boeser,VAN,US,RW,0.871090225
Jaden,Schwartz,STL,CA,C,0.870760718
Mike,Hoffman,FLA,CA,C,0.87032702
Tyson,Barrie,COL,CA,D,0.869384115
Keith,Yandle,FLA,US,D,0.868606334
Brady,Tkachuk,OTT,US,LW,0.868137906
Andrei,Markov,MTL,RU,D,0.868069807
Chris,Kreider,NYR,US,C,0.867822041
Mikko,Koivu,MIN,FI,C,0.867790814
Phillip,Danault,MTL,CA,LW,0.867575895
Dougie,Hamilton,CAR,CA,D,0.867510557
Ryan,Nugent-Hopkins,EDM,CA,C,0.867233368
Rickard,Rakell,ANA,SE,RW,0.867158944
Zach,Parise,MIN,US,LW,0.867034485
Alexander,Edler,VAN,SE,D,0.8662828
Jeff,Petry,MTL,US,D,0.866123802
Alex,DeBrincat,CHI,US,RW,0.865724728
Patric,Hornqvist,PIT,SE,RW,0.864482451
Max,Pacioretty,VEG,US,LW,0.864448768
Jacob,Trouba,WPG,US,D,0.864384824
